dataset,sample.id,size,log.log.data
6,McGill0079,57601,2.39437045041761
6,McGill0101,58109,2.39517118731512
6,McGill0102,57492,2.39419763465003
6,McGill0104,57602,2.39437203423092
6,McGill0106,57504,2.39421667774585
6,McGill0107,57570,2.39432133731702
6,McGill0322,57493,2.39419922174034
8,McGill0001,152269,2.4793415242069
8,McGill0002,153300,2.47990684363377
8,McGill0004,152908,2.47969238848539
8,McGill0005,152175,2.47928977575787
8,McGill0007,152174,2.47928922505623
8,McGill0008,152187,2.4792963838716
8,McGill0009,152179,2.47929197852519
8,McGill0011,152182,2.47929363055951
8,McGill0024,152181,2.47929307988532
8,McGill0025,152217,2.4793129016856
8,McGill0026,152236,2.47932336114302
8,McGill0027,152242,2.47932666383564
8,McGill0028,152221,2.47931510379422
8,McGill0029,152295,2.47935583149516
8,McGill0079,152502,2.47946964517073
8,McGill0101,152278,2.47934647702937
8,McGill0102,152189,2.47929748516898
8,McGill0104,152215,2.47931180060778
8,McGill0106,152321,2.47937013613644
8,McGill0107,152180,2.47929252920722
8,McGill0322,152195,2.47930078896703
9,McGill0001,72865,2.41558905531351
9,McGill0002,73389,2.41622884826948
9,McGill0004,73038,2.41580083733753
9,McGill0005,72866,2.41559028106037
9,McGill0007,73364,2.41619843698468
9,McGill0008,72953,2.41569685094927
9,McGill0009,72993,2.41574580215115
9,McGill0011,72988,2.41573968484913
9,McGill0024,72891,2.41562091877771
9,McGill0025,72921,2.41565766893261
9,McGill0026,72861,2.41558415214285
9,McGill0027,72891,2.41562091877771
9,McGill0028,72936,2.41567603783452
9,McGill0029,73865,2.41680573590247
9,McGill0079,72895,2.41562581975023
9,McGill0101,72962,2.41570786751834
9,McGill0102,73025,2.41578494207844
9,McGill0104,72966,2.41571276329612
9,McGill0106,72892,2.4156221440483
9,McGill0107,73762,2.41668124915122
9,McGill0322,72917,2.41565276986362
10,McGill0001,584257,2.58611577786084
10,McGill0002,584301,2.58612144932714
10,McGill0004,584342,2.58612673368923
10,McGill0005,584335,2.58612583150929
10,McGill0007,584324,2.58612441377448
10,McGill0008,584330,2.58612518708793
10,McGill0009,584282,2.58611900034121
10,McGill0011,584267,2.58611706687078
10,McGill0024,584387,2.58613253313991
10,McGill0025,584336,2.58612596039285
10,McGill0026,584357,2.58612866689281
10,McGill0027,584268,2.58611719577047
10,McGill0028,584691,2.58617169907571
10,McGill0029,584634,2.58616435713095
10,McGill0079,584396,2.58613369297242
10,McGill0101,592847,2.58721438303658
10,McGill0102,584362,2.58612931128215
10,McGill0104,584301,2.58612144932714
10,McGill0106,584272,2.58611771136685
10,McGill0107,584342,2.58612673368923
10,McGill0322,584317,2.58612351156466
13,McGill0001,411756,2.55940990605949
13,McGill0002,411824,2.55942267905457
13,McGill0004,411784,2.55941516580326
13,McGill0005,411929,2.55944239759929
13,McGill0007,411762,2.55941103317988
13,McGill0008,411777,2.55941385090344
13,McGill0009,411759,2.5594104696219
13,McGill0011,411768,2.55941216028257
13,McGill0024,411783,2.5594149779619
13,McGill0025,411762,2.55941103317988
13,McGill0026,411797,2.55941760769618
13,McGill0027,411783,2.5594149779619
13,McGill0028,411761,2.55941084532771
13,McGill0029,411917,2.5594401443254
13,McGill0079,411802,2.55941854686365
13,McGill0101,412485,2.55954672181559
13,McGill0102,411771,2.55941272382729
13,McGill0104,411760,2.55941065747505
13,McGill0106,411776,2.55941366305864
13,McGill0107,411754,2.55940953034876
13,McGill0322,411792,2.55941666851642
17,McGill0001,1343494,2.64693934483617
17,McGill0002,1343375,2.64693306742354
17,McGill0004,1343344,2.64693143203341
17,McGill0005,1343338,2.64693111550162
17,McGill0007,1343337,2.64693106274618
17,McGill0008,1343357,2.6469321178471
17,McGill0009,1343365,2.64693253988276
17,McGill0011,1343427,2.64693581056786
17,McGill0024,1343405,2.64693465002068
17,McGill0025,1343356,2.64693206509245
17,McGill0026,1343356,2.64693206509245
17,McGill0027,1343323,2.64693032416552
17,McGill0028,1343435,2.64693623257997
17,McGill0029,1343338,2.64693111550162
17,McGill0079,1343645,2.64694730943545
17,McGill0101,1344054,2.6469688776097
17,McGill0102,1343338,2.64693111550162
17,McGill0104,1343396,2.64693417524551
17,McGill0106,1343350,2.64693174856369
17,McGill0107,1343338,2.64693111550162
17,McGill0322,1343422,2.64693554680892
21,McGill0001,492316,2.5731369830137
21,McGill0002,492464,2.57315991535105
21,McGill0004,492331,2.57313930757496
21,McGill0005,492382,2.57314721051309
21,McGill0007,492369,2.57314519612233
21,McGill0008,492326,2.57313853272967
21,McGill0009,492348,2.57314194198556
21,McGill0011,492351,2.57314240687139
21,McGill0024,492366,2.5731447312548
21,McGill0025,492382,2.57314721051309
21,McGill0026,492333,2.5731396175107
21,McGill0027,492309,2.57313589819236
21,McGill0028,492311,2.57313620814301
21,McGill0029,492489,2.57316378832435
21,McGill0079,492341,2.57314085724011
21,McGill0101,492762,2.57320606742635
21,McGill0102,492469,2.57316068996264
21,McGill0104,492333,2.5731396175107
21,McGill0106,492354,2.57314287175417
21,McGill0107,492341,2.57314085724011
21,McGill0322,492314,2.57313667306644
22,McGill0001,883644,2.61679781066587
22,McGill0002,883946,2.61682276747963
22,McGill0004,883706,2.61680293499668
22,McGill0005,883637,2.61679723208815
22,McGill0007,883647,2.61679805862624
22,McGill0008,883689,2.61680152997662
22,McGill0009,883695,2.61680202586936
22,McGill0011,883639,2.61679739739657
22,McGill0024,883707,2.61680301764401
22,McGill0025,883696,2.6168021085178
22,McGill0026,883663,2.61679938106631
22,McGill0027,883675,2.6168003728795
22,McGill0028,883625,2.61679624022919
22,McGill0029,883758,2.61680723252507
22,McGill0079,883736,2.6168054143731
22,McGill0101,884878,2.6168997288737
22,McGill0102,883649,2.61679822393265
22,McGill0104,883862,2.61681582676791
22,McGill0106,883657,2.61679888515429
22,McGill0107,883719,2.61680400940422
22,McGill0322,883688,2.61680144732748
23,McGill0001,266225,2.52509621195575
23,McGill0002,266545,2.52519236964816
23,McGill0004,266150,2.52507365693893
23,McGill0005,266221,2.52509500919478
23,McGill0007,266194,2.52508689004764
23,McGill0008,266144,2.52507185224103
23,McGill0009,266226,2.52509651264295
23,McGill0011,266190,2.52508568713538
23,McGill0024,266387,2.52514490737971
23,McGill0025,266148,2.52507305537784
23,McGill0026,266292,2.52511635530111
23,McGill0027,266198,2.52508809294038
23,McGill0028,266201,2.52508899509712
23,McGill0029,266393,2.52514671029965
23,McGill0079,266719,2.52524460307739
23,McGill0101,266274,2.52511094419389
23,McGill0102,266182,2.5250832812523
23,McGill0104,266167,2.52507877001101
23,McGill0106,266207,2.52509079937766
23,McGill0107,266166,2.52507846925183
23,McGill0322,266216,2.52509350571611
24,McGill0001,849638,2.61392746407124
24,McGill0002,849672,2.61393039510884
24,McGill0004,849659,2.61392927443286
24,McGill0005,849693,2.61393220539271
24,McGill0007,849763,2.61393823932549
24,McGill0008,849689,2.61393186058043
24,McGill0009,849721,2.61393461902984
24,McGill0011,849939,2.613953408
24,McGill0024,849745,2.61393668779373
24,McGill0025,849733,2.61393565341962
24,McGill0026,849644,2.61392798132232
24,McGill0027,849638,2.61392746407124
24,McGill0028,849636,2.61392729165334
24,McGill0029,849638,2.61392746407124
24,McGill0079,849737,2.61393599821273
24,McGill0101,849815,2.61394272133023
24,McGill0102,849697,2.61393255020324
24,McGill0104,849672,2.61393039510884
24,McGill0106,849635,2.61392720544423
24,McGill0107,849712,2.61393384322721
24,McGill0322,849668,2.61393005028742
25,McGill0001,3697637,2.71623028777574
25,McGill0002,3697695,2.71623132496082
25,McGill0004,3697707,2.71623153954867
25,McGill0005,3697633,2.71623021624509
25,McGill0007,3697659,2.71623068119281
25,McGill0008,3697702,2.71623145013716
25,McGill0009,3697767,2.7162326124768
25,McGill0011,3697599,2.71622960823128
25,McGill0024,3697660,2.71623069907535
25,McGill0025,3697615,2.71622989435617
25,McGill0026,3697714,2.71623166472458
25,McGill0027,3697855,2.71623418607114
25,McGill0028,3697614,2.7162298764734
25,McGill0029,3700104,2.71627438859292
25,McGill0079,3698120,2.7162389244948
25,McGill0101,3697917,2.71623529471591
25,McGill0102,3697595,2.71622953669985
25,McGill0104,3698421,2.71624430618975
25,McGill0106,3697633,2.71623021624509
25,McGill0107,3697670,2.71623087790041
25,McGill0322,3697628,2.71623012683167
26,McGill0001,4342572,2.72680504811737
26,McGill0002,4342449,2.72680319489194
26,McGill0004,4342542,2.72680459611633
26,McGill0005,4342470,2.72680351130024
26,McGill0007,4342635,2.72680599730874
26,McGill0008,4342478,2.72680363183631
26,McGill0009,4342437,2.72680301408647
26,McGill0011,4342421,2.72680277301167
26,McGill0024,4342433,2.72680295381786
26,McGill0025,4342640,2.72680607264076
26,McGill0026,4342518,2.72680423451309
26,McGill0027,4342493,2.7268038578408
26,McGill0028,4342444,2.72680311955639
26,McGill0029,4342466,2.72680345103212
26,McGill0079,4342483,2.72680370717123
26,McGill0101,4344044,2.72682722221655
26,McGill0102,4342505,2.72680403864379
26,McGill0104,4342801,2.7268084982824
26,McGill0106,4342449,2.72680319489194
26,McGill0107,4342546,2.72680465638332
26,McGill0322,4342426,2.72680284834765
27,McGill0001,1082264,2.63149780694734
27,McGill0002,1082147,2.63149002599351
27,McGill0004,1082140,2.63148956043777
27,McGill0005,1082335,2.63150252828313
27,McGill0007,1082237,2.63149601142265
27,McGill0008,1082223,2.63149508039094
27,McGill0009,1082196,2.63149328479333
27,McGill0011,1082257,2.63149734144555
27,McGill0024,1082154,2.63149049154603
27,McGill0025,1082204,2.63149381682725
27,McGill0026,1082203,2.63149375032324
27,McGill0027,1082141,2.63148962694593
27,McGill0028,1082160,2.63149089058847
27,McGill0029,1082156,2.63149062456044
27,McGill0079,1082705,2.63152712705533
27,McGill0101,1082545,2.63151649085445
27,McGill0102,1082174,2.63149182167828
27,McGill0104,1082236,2.63149594492081
27,McGill0106,1082212,2.63149434885697
27,McGill0107,1082182,2.6314923537238
27,McGill0322,1082205,2.6314938833312
28,McGill0012,340763,2.54466364041688
28,McGill0013,340303,2.54455759586944
28,McGill0016,340132,2.54451813553911
28,McGill0019,340223,2.54453913755892
28,McGill0022,340167,2.54452621395612
28,McGill0023,340174,2.54452782953195
28,McGill0036,340627,2.54463230419877
28,McGill0037,340174,2.54452782953195
29,McGill0012,383819,2.55396045901784
29,McGill0013,384078,2.55401292097385
29,McGill0016,384333,2.55406453547003
29,McGill0019,383800,2.55395660895531
29,McGill0022,383838,2.55396430887496
29,McGill0023,383815,2.55395964849543
29,McGill0036,383920,2.55398092169212
29,McGill0037,383851,2.55396694286938
30,McGill0012,429362,2.56264329014147
30,McGill0013,429388,2.56264795881752
30,McGill0016,429501,2.56266824606505
30,McGill0019,429377,2.56264598364559
30,McGill0022,429365,2.5626438288504
30,McGill0023,429344,2.56264005780275
30,McGill0036,429346,2.5626404169587
30,McGill0037,429481,2.56266465582051
31,McGill0012,2434962,2.68821760954378
31,McGill0013,2435872,2.68824301836238
31,McGill0016,2434595,2.68820735938109
31,McGill0019,2434761,2.68821199589884
31,McGill0022,2434591,2.6882072476536
31,McGill0023,2434548,2.68820604657075
31,McGill0036,2434573,2.68820674487749
31,McGill0037,2434668,2.68820939837326
32,McGill0001,40659,2.3620773555981
32,McGill0002,40946,2.3627399013513
32,McGill0004,40823,2.36245657734884
32,McGill0005,40620,2.36198692846571
32,McGill0006,40644,2.36204258716834
32,McGill0007,40643,2.36204026877382
32,McGill0008,40677,2.36211905919173
32,McGill0009,40643,2.36204026877382
32,McGill0010,40715,2.36220703383753
32,McGill0011,40650,2.36205649622485
32,McGill0024,40804,2.36241272857683
32,McGill0025,40626,2.36200084651425
32,McGill0026,40760,2.36231109821896
32,McGill0027,40629,2.36200780469508
32,McGill0028,40683,2.36213295590242
32,McGill0029,40672,2.36210747688602
32,McGill0058,40675,2.3621144264564
32,McGill0059,40674,2.36211210999526
32,McGill0079,40887,2.36260411435112
32,McGill0091,40870,2.3625649494936
32,McGill0095,40672,2.36210747688602
32,McGill0101,40845,2.36250732172206
32,McGill0102,40650,2.36205649622485
32,McGill0104,40660,2.36207967299436
32,McGill0106,40622,2.36199156806516
32,McGill0107,40654,2.36206576768123
32,McGill0322,40644,2.36204258716834
37,McGill0001,48875,2.37927029028206
37,McGill0002,48856,2.37923427762864
37,McGill0004,48874,2.37926839526063
37,McGill0005,48851,2.37922479807121
37,McGill0006,48871,2.37926270994213
37,McGill0007,48935,2.3793839141084
37,McGill0008,48837,2.37919824966952
37,McGill0009,48894,2.37930628764229
37,McGill0010,48863,2.37924754722837
37,McGill0011,48958,2.37942742955531
37,McGill0024,48878,2.37927597509218
37,McGill0025,48851,2.37922479807121
37,McGill0026,48854,2.37923048593287
37,McGill0027,48837,2.37919824966952
37,McGill0028,48869,2.37925891951795
37,McGill0029,48847,2.37921721366194
37,McGill0058,48917,2.37934984295049
37,McGill0059,48905,2.37932712123421
37,McGill0079,50208,2.38175939191285
37,McGill0091,49062,2.37962391660412
37,McGill0095,48859,2.3792399648543
37,McGill0101,50804,2.38284904117279
37,McGill0102,48893,2.37930439342545
37,McGill0104,48892,2.37930249916629
37,McGill0106,48862,2.37924565169844
37,McGill0107,48863,2.37924754722837
37,McGill0322,48996,2.37949927572748
39,McGill0001,99911,2.44339301585258
39,McGill0002,99820,2.44331385854273
39,McGill0004,99876,2.44336258001037
39,McGill0005,99803,2.44329906221893
39,McGill0006,99836,2.44332778199285
39,McGill0007,99853,2.4433425730015
39,McGill0008,99817,2.44331124762579
39,McGill0009,99869,2.44335649145086
39,McGill0010,99852,2.44334170301793
39,McGill0011,99835,2.44332691184827
39,McGill0024,100000,2.44347035768206
39,McGill0025,99800,2.44329645081861
39,McGill0026,99933,2.44341214102273
39,McGill0027,99815,2.44330950696711
39,McGill0028,99834,2.44332604169422
39,McGill0029,99938,2.44341648701412
39,McGill0058,100776,2.44414155564821
39,McGill0059,99865,2.44335301206574
39,McGill0079,100902,2.44425000858839
39,McGill0091,99842,2.4433330026614
39,McGill0095,99825,2.44331820988144
39,McGill0101,101238,2.44453849839613
39,McGill0102,99844,2.44333474280847
39,McGill0104,100105,2.44356150752151
39,McGill0106,99842,2.4433330026614
39,McGill0107,99828,2.44332082057097
39,McGill0322,99890,2.44337475573812
56,McGill0001,19232,2.2889253051754
56,McGill0002,19260,2.28907278002869
56,McGill0004,19247,2.2890043389471
56,McGill0005,19263,2.28908856689915
56,McGill0006,19286,2.28920950968577
56,McGill0007,19296,2.28926204396801
56,McGill0008,19234,2.28893584693349
56,McGill0009,19253,2.28903593346304
56,McGill0010,19270,2.28912539240221
56,McGill0011,19315,2.2893617765475
56,McGill0024,19234,2.28893584693349
56,McGill0025,19242,2.28897800189637
56,McGill0026,19452,2.29007771801218
56,McGill0027,19238,2.28895692682829
56,McGill0028,19266,2.28910435106202
56,McGill0029,19234,2.28893584693349
56,McGill0058,19499,2.29032205447268
56,McGill0059,19244,2.28898853762105
56,McGill0079,19273,2.28914117025079
56,McGill0091,19383,2.2897178309253
56,McGill0095,19222,2.2888725782675
56,McGill0101,19236,2.28894638748436
56,McGill0102,19232,2.2889253051754
56,McGill0104,19237,2.28895165730718
56,McGill0106,19267,2.2891096118481
56,McGill0107,19224,2.28888312606563
56,McGill0322,19255,2.28904646255861
58,McGill0001,72755,2.4154541111698
58,McGill0002,72726,2.4154184979645
58,McGill0004,72762,2.41546270514399
58,McGill0005,72746,2.41544306045081
58,McGill0006,72761,2.41546147748854
58,McGill0007,72758,2.41545779441188
58,McGill0008,72730,2.41542341105037
58,McGill0009,72745,2.41544183250121
58,McGill0010,72730,2.41542341105037
58,McGill0011,72960,2.41570541951981
58,McGill0024,72752,2.41545042776227
58,McGill0025,72858,2.41558047457241
58,McGill0026,72751,2.41544919992299
58,McGill0027,72969,2.41571643493761
58,McGill0028,72739,2.41543446441746
58,McGill0029,72737,2.41543200824241
58,McGill0058,72791,2.41549829915947
58,McGill0059,72755,2.4154541111698
58,McGill0079,72865,2.41558905531351
58,McGill0091,72750,2.41544797206532
58,McGill0095,72751,2.41544919992299
58,McGill0101,72802,2.41551179629701
58,McGill0102,72779,2.41548357247519
58,McGill0104,72840,2.41555840568525
58,McGill0106,72947,2.41568950574739
58,McGill0107,72758,2.41545779441188
58,McGill0322,72840,2.41555840568525
62,McGill0001,107320,2.44958774107929
62,McGill0002,107334,2.44959900200678
62,McGill0004,107329,2.44959498043014
62,McGill0005,107317,2.44958532781578
62,McGill0006,107298,2.4495700421115
62,McGill0007,107308,2.44957808758552
62,McGill0008,107275,2.44955153442959
62,McGill0009,107293,2.44956601906902
62,McGill0010,107306,2.44957647855587
62,McGill0011,107332,2.44959739340055
62,McGill0024,107286,2.44956038646739
62,McGill0025,107302,2.44957326039885
62,McGill0026,107286,2.44956038646739
62,McGill0027,107298,2.4495700421115
62,McGill0028,107282,2.44955716765864
62,McGill0029,107304,2.44957486949365
62,McGill0058,107523,2.44975086854631
62,McGill0059,107368,2.44962634333194
62,McGill0079,107951,2.45009370873765
62,McGill0091,107563,2.44978297243149
62,McGill0095,107345,2.44960784875907
62,McGill0101,108899,2.45084785524535
62,McGill0102,107299,2.44957084669555
62,McGill0104,107808,2.44997932617142
62,McGill0106,107429,2.44967537331921
62,McGill0107,107278,2.4495539487195
62,McGill0322,107319,2.44958693666627
65,McGill0001,1154784,2.63615482653001
65,McGill0002,1154926,2.63616363481746
65,McGill0004,1154803,2.63615600517095
65,McGill0005,1154797,2.63615563297079
65,McGill0006,1154789,2.6361551367007
65,McGill0007,1154836,2.63615805223476
65,McGill0008,1154881,2.63616084358438
65,McGill0009,1154825,2.63615736988712
65,McGill0010,1154883,2.63616096764166
65,McGill0011,1154912,2.63616276644632
65,McGill0024,1154826,2.63615743191901
65,McGill0025,1154814,2.63615668753251
65,McGill0026,1154801,2.63615588110446
65,McGill0027,1154805,2.6361561292372
65,McGill0028,1154817,2.63615687362992
65,McGill0029,1154796,2.63615557093723
65,McGill0058,1154817,2.63615687362992
65,McGill0059,1154794,2.63615544686994
65,McGill0079,1155958,2.63622761513084
65,McGill0091,1154893,2.6361615879246
65,McGill0095,1154860,2.63615954096906
65,McGill0101,1154806,2.63615619127025
65,McGill0102,1154801,2.63615588110446
65,McGill0104,1155067,2.63617237992644
65,McGill0106,1154785,2.63615488856426
65,McGill0107,1154786,2.63615495059846
65,McGill0322,1154804,2.6361560672041
66,McGill0001,185837,2.49589812364478
66,McGill0002,186084,2.49600759431019
66,McGill0004,185887,2.4959202964072
66,McGill0005,185838,2.49589856716331
66,McGill0006,185868,2.49591187151804
66,McGill0007,185865,2.49591054118716
66,McGill0008,185864,2.49591009773838
66,McGill0009,185834,2.4958967930737
66,McGill0010,186024,2.49598101671459
66,McGill0011,185835,2.49589723659998
66,McGill0024,186102,2.49601556578012
66,McGill0025,185851,2.4959043326691
66,McGill0026,185845,2.49590167172067
66,McGill0027,185922,2.49593581350015
66,McGill0028,185845,2.49590167172067
66,McGill0029,185885,2.49591940962066
66,McGill0058,186288,2.49609788880175
66,McGill0059,186150,2.49603681895392
66,McGill0079,185877,2.49591586237121
66,McGill0091,186179,2.49604965653873
66,McGill0095,186104,2.49601645144749
66,McGill0101,186446,2.49616774925342
66,McGill0102,185899,2.49592561690959
66,McGill0104,186302,2.49610408155752
66,McGill0106,186013,2.49597614314892
66,McGill0107,185891,2.4959220699493
66,McGill0322,185933,2.49594068964778
67,McGill0001,120147,2.45928719563478
67,McGill0002,120180,2.45931067473319
67,McGill0004,120085,2.45924306445251
67,McGill0005,120078,2.45923808034587
67,McGill0006,120078,2.45923808034587
67,McGill0007,120070,2.45923238383779
67,McGill0008,120095,2.45925018405779
67,McGill0009,120081,2.45924021643019
67,McGill0010,120108,2.45925943858267
67,McGill0011,120080,2.45923950440852
67,McGill0024,120081,2.45924021643019
67,McGill0025,120084,2.45924235245658
67,McGill0026,120107,2.45925872673474
67,McGill0027,120059,2.45922455046643
67,McGill0028,120067,2.45923024754104
67,McGill0029,120088,2.45924520040167
67,McGill0058,120355,2.45943506825813
67,McGill0059,120069,2.45923167174531
67,McGill0079,120159,2.4592957342986
67,McGill0091,120185,2.45931423156183
67,McGill0095,120082,2.45924092844542
67,McGill0101,120435,2.45949186849399
67,McGill0102,120093,2.45924876018822
67,McGill0104,122181,2.4607214335825
67,McGill0106,120074,2.45923523214333
67,McGill0107,120060,2.45922526262329
67,McGill0322,120091,2.4592473362929
68,McGill0001,690307,2.59859923503304
68,McGill0002,690341,2.59860289829385
68,McGill0004,690314,2.59859998924964
68,McGill0005,690328,2.59860149765819
68,McGill0006,690330,2.59860171314245
68,McGill0007,690307,2.59859923503304
68,McGill0008,690321,2.59860074345802
68,McGill0009,690327,2.59860138991582
68,McGill0010,690319,2.59860052797075
68,McGill0011,690328,2.59860149765819
68,McGill0024,690334,2.59860214410894
68,McGill0025,690310,2.59859955826973
68,McGill0026,690365,2.59860548400831
68,McGill0027,690345,2.59860332925297
68,McGill0028,690312,2.59859977376002
68,McGill0029,690291,2.59859751107852
68,McGill0058,690584,2.59862907419237
68,McGill0059,690308,2.59859934277877
68,McGill0079,690681,2.59863952024447
68,McGill0091,690343,2.59860311377375
68,McGill0095,690346,2.59860343699233
68,McGill0101,690311,2.59859966601496
68,McGill0102,690317,2.59860031248281
68,McGill0104,690383,2.59860742323078
68,McGill0106,690364,2.59860537627214
68,McGill0107,690288,2.59859718783226
68,McGill0322,690332,2.59860192862603
72,McGill0001,123916,2.46192450481117
72,McGill0002,123935,2.4619375782505
72,McGill0004,123976,2.46196578194682
72,McGill0005,123918,2.46192588106512
72,McGill0006,123954,2.46195064951488
72,McGill0007,124008,2.46198778755538
72,McGill0008,123999,2.46198159910091
72,McGill0009,123913,2.46192244038505
72,McGill0010,123905,2.46191693498351
72,McGill0011,123986,2.46197265936161
72,McGill0024,123925,2.46193069776412
72,McGill0025,123907,2.46191831137006
72,McGill0026,123968,2.46196027958151
72,McGill0027,123975,2.46196509417223
72,McGill0028,123914,2.46192312853311
72,McGill0029,123918,2.46192588106512
72,McGill0058,123960,2.46195477683082
72,McGill0059,123926,2.46193138583987
72,McGill0079,124516,2.4623363034469
72,McGill0091,123939,2.46194033027636
72,McGill0095,123939,2.46194033027636
72,McGill0101,124109,2.46205720235719
72,McGill0102,123915,2.46192381667516
72,McGill0104,123915,2.46192381667516
72,McGill0106,124072,2.46203178029036
72,McGill0107,123944,2.46194377017312
72,McGill0322,123947,2.46194583403889
73,McGill0001,46057,2.37375486360545
73,McGill0002,46047,2.37373464052738
73,McGill0004,46070,2.37378114643241
73,McGill0005,46080,2.37380135847551
73,McGill0006,46090,2.37382156572441
73,McGill0007,46220,2.37408382467981
73,McGill0008,46098,2.37383772807317
73,McGill0009,46039,2.373718458608
73,McGill0010,46058,2.37375688564926
73,McGill0011,46098,2.37383772807317
73,McGill0024,46112,2.37386600480715
73,McGill0025,46072,2.37378518922467
73,McGill0026,46143,2.37392858419304
73,McGill0027,46227,2.37409792343105
73,McGill0028,46110,2.37386196584833
73,McGill0029,46061,2.37376295149277
73,McGill0058,46080,2.37380135847551
73,McGill0059,46126,2.37389427215819
73,McGill0079,46614,2.37487377305562
73,McGill0091,46116,2.37387408215035
73,McGill0095,46076,2.3737932742337
73,McGill0101,47025,2.37569006591359
73,McGill0102,46090,2.37382156572441
73,McGill0104,46075,2.37379125305337
73,McGill0106,46086,2.37381348340002
73,McGill0107,46045,2.37373059533566
73,McGill0322,46044,2.37372857266778
75,McGill0001,43227,2.36783154277234
75,McGill0002,43204,2.36778168154572
75,McGill0004,43239,2.36785754580829
75,McGill0005,43210,2.36779469162055
75,McGill0006,43272,2.3679290134809
75,McGill0007,43208,2.36779035514849
75,McGill0008,43219,2.36781420302866
75,McGill0009,43247,2.36787487678119
75,McGill0010,43291,2.36797013450016
75,McGill0011,43224,2.36782504077978
75,McGill0024,43244,2.36786837807727
75,McGill0025,43236,2.3678510457893
75,McGill0026,43415,2.36823801943518
75,McGill0027,43235,2.36784887900669
75,McGill0028,43335,2.36806528639113
75,McGill0029,43200,2.36777300706465
75,McGill0058,43373,2.36814737803235
75,McGill0059,43227,2.36783154277234
75,McGill0079,43963,2.36941196105939
75,McGill0091,43411,2.3682293910532
75,McGill0095,43251,2.36788354095283
75,McGill0101,43282,2.36795065858357
75,McGill0102,43498,2.36841686243245
75,McGill0104,43298,2.36798527937404
75,McGill0106,43473,2.36836303336362
75,McGill0107,43290,2.36796797072811
75,McGill0322,43238,2.3678553791901
77,McGill0001,1133204,2.63480254633155
77,McGill0002,1133220,2.6348035591425
77,McGill0004,1133441,2.63481754702626
77,McGill0005,1133250,2.63480545812174
77,McGill0006,1133185,2.63480134359863
77,McGill0007,1133188,2.63480153350526
77,McGill0008,1133197,2.63480210322193
77,McGill0009,1133380,2.63481368640924
77,McGill0010,1133249,2.6348053948233
77,McGill0011,1133267,2.63480653418606
77,McGill0024,1133321,2.63480995215797
77,McGill0025,1133176,2.63480077387549
77,McGill0026,1133237,2.63480463523735
77,McGill0027,1133224,2.63480381234285
77,McGill0028,1133177,2.6348008371783
77,McGill0029,1133183,2.63480121699391
77,McGill0058,1134366,2.63487606189472
77,McGill0059,1133196,2.63480203992032
77,McGill0079,1134175,2.63486398355558
77,McGill0091,1133609,2.63482817839421
77,McGill0095,1133254,2.6348057113149
77,McGill0101,1134935,2.6349120310486
77,McGill0102,1133175,2.63480071057262
77,McGill0104,1133598,2.6348274823444
77,McGill0106,1133261,2.63480615440063
77,McGill0107,1133176,2.63480077387549
77,McGill0322,1133217,2.63480336924162
78,McGill0001,244068,2.51811591317975
78,McGill0002,244090,2.51812317903668
